1;2108.65;588.398;
3;4000;652;
3;400;652;
3;0;620;
3;500;370;
3;900;270;
3;1300;470;
3;1700;270;
3;2400;620;
3;3400;588;
3;3600;556;
3;3800;524;
3;4300;420;
3;4800;320;
3;5250;320;
3;6000;520;
3;6500;370;
3;6900;320;
3;7300;420;
3;7800;452;
3;8000;484;
3;8200;516;
3;8700;520;
3;9400;520;
3;9700;220;
8;400;620;
8;4000;620;
9;8212;482;
9;1744;236;
9;8033;450;
9;7825;418;
9;9930;486;
7;9761;151;
7;8753;451;
7;501;301;
7;3010;551;
4;3175.34;570.398;
4;3223.96;570.398;
4;5588.71;270.398;
4;5638.29;270.398;
4;9075.01;470.398;
4;9124.54;470.398;
6;5380;100;
6;6089;100;
6;4817;100;
